nation_A,nation_B,distance_AB
BF,CD,3277.015777912017
CD,BF,3277.015777912017
BF,MX,10509.242488749867
MX,BF,10509.242488749867
BF,KG,8002.242120097573
KG,BF,8002.242120097573
BF,AU,15242.645329205094
AU,BF,15242.645329205094
BF,UG,3918.9622909495006
UG,BF,3918.9622909495006
BF,SV,9407.860631481864
SV,BF,9407.860631481864
BF,BE,4315.707673525387
BE,BF,4315.707673525387
BF,IL,8967.123277088396
IL,BF,8967.123277088396
BF,MK,3987.174897774206
MK,BF,3987.174897774206
BF,IN,8533.044902647014
IN,BF,8533.044902647014
BF,MY,9895.591796549694
MY,BF,9895.591796549694
BF,TR,4680.181568695999
TR,BF,4680.181568695999
BF,AZ,5752.261109308148
AZ,BF,5752.261109308148
BF,BG,4282.175868508134
BG,BF,4282.175868508134
BF,CH,3960.7472748248665
CH,BF,3960.7472748248665
BF,PL,4828.247414412715
PL,BF,4828.247414412715
BF,LU,4840.389974914691
LU,BF,4840.389974914691
BF,PE,8384.01219236537
PE,BF,8384.01219236537
BF,EE,5651.538257406699
EE,BF,5651.538257406699
BF,IR,6146.507102950943
IR,BF,6146.507102950943
BF,RO,4508.239460279131
RO,BF,4508.239460279131
BF,BB,6270.952391497988
BB,BF,6270.952391497988
BF,SM,3783.867978951689
SM,BF,3783.867978951689
BF,LY,2637.361027732055
LY,BF,2637.361027732055
BF,CM,1830.150644828539
CM,BF,1830.150644828539
BF,IT,3660.894929412741
IT,BF,3660.894929412741
BF,GB,4730.736917380494
GB,BF,4730.736917380494
BF,BM,6779.728827222889
BM,BF,6779.728827222889
BF,VG,6760.687182197396
VG,BF,6760.687182197396
BF,ME,10509.242488749867
ME,BF,10509.242488749867
BF,KW,5421.23423674246
KW,BF,5421.23423674246
BF,SY,4808.546605167804
SY,BF,4808.546605167804
BF,BZ,9327.86534949502
BZ,BF,9327.86534949502
BF,ET,4407.565837287409
ET,BF,4407.565837287409
BF,KR,12458.8381973313
KR,BF,12458.8381973313
BF,LB,4503.122728108792
LB,BF,4503.122728108792
BF,LT,5285.807781444061
LT,BF,5285.807781444061
BF,OM,6309.980471651059
OM,BF,6309.980471651059
BF,CN,10723.78090942625
CN,BF,10723.78090942625
BF,CO,7880.747807642599
CO,BF,7880.747807642599
BF,DK,4947.880858237794
DK,BF,4947.880858237794
BF,MU,7408.60370069773
MU,BF,7408.60370069773
BF,AL,8839.3472142299
AL,BF,8839.3472142299
BF,XK,4025.1563506101234
XK,BF,4025.1563506101234
BF,PA,8681.149626255989
PA,BF,8681.149626255989
BF,TH,4458.418096685679
TH,BF,4458.418096685679
BF,LV,5457.601113346826
LV,BF,5457.601113346826
BF,KN,4349.727667834868
KN,BF,4349.727667834868
BF,NZ,16700.482865922288
NZ,BF,16700.482865922288
BF,ZW,4828.744031090788
ZW,BF,4828.744031090788
BF,ER,4558.996818032163
ER,BF,4558.996818032163
BF,RS,4143.340576450496
RS,BF,4143.340576450496
BF,PH,13307.446603257456
PH,BF,13307.446603257456
BF,ZA,5357.927829387528
ZA,BF,5357.927829387528
BF,LC,6419.597539112695
LC,BF,6419.597539112695
BF,ST,4445.215406241348
ST,BF,4445.215406241348
BF,MO,9256.17193878574
MO,BF,9256.17193878574
BF,TT,6458.102092767072
TT,BF,6458.102092767072
BF,GR,3790.180326630216
GR,BF,3790.180326630216
BF,BJ,515.3035633936431
BJ,BF,515.3035633936431
BF,SR,6048.368678629473
SR,BF,6048.368678629473
BF,ID,13293.54568711205
ID,BF,13293.54568711205
BF,AO,4205.573688825526
AO,BF,4205.573688825526
BF,TW,12626.692228597469
TW,BF,12626.692228597469
BF,JP,13249.681639388504
JP,BF,13249.681639388504
BF,KH,11448.78375177446
KH,BF,11448.78375177446
BF,MD,7905.06555303506
MD,BF,7905.06555303506
BF,SA,4851.515548071914
SA,BF,4851.515548071914
BF,BY,5273.367879319873
BY,BF,5273.367879319873
BF,SN,1408.2421210973791
SN,BF,1408.2421210973791
BF,TN,2661.0150201790466
TN,BF,2661.0150201790466
BF,CW,2799.778693344146
CW,BF,2799.778693344146
BF,CU,8400.089413868378
CU,BF,8400.089413868378
BF,EG,3600.4765280728734
EG,BF,3600.4765280728734
BF,CR,3839.4247215578334
CR,BF,3839.4247215578334
BF,ES,3035.264676175548
ES,BF,3035.264676175548
BF,HR,4113.519304876229
HR,BF,4113.519304876229
BF,AT,4205.573688825526
AT,BF,4205.573688825526
BF,NO,5446.9371234501305
NO,BF,5446.9371234501305
BF,GT,9520.622635421949
GT,BF,9520.622635421949
BF,NI,4738.4249573598345
NI,BF,4738.4249573598345
BF,KZ,7291.022499569597
KZ,BF,7291.022499569597
BF,AG,6493.2271030885095
AG,BF,6493.2271030885095
BF,VC,3060.151797129944
VC,BF,3060.151797129944
BF,BA,4019.976785663933
BA,BF,4019.976785663933
BF,PK,7715.81330549142
PK,BF,7715.81330549142
BF,EC,8708.898835996526
EC,BF,8708.898835996526
BF,UZ,7102.583746203126
UZ,BF,7102.583746203126
BF,MA,2193.009459799873
MA,BF,2193.009459799873
BF,PR,4465.502250690324
PR,BF,4465.502250690324
BF,DE,4463.452662846474
DE,BF,4463.452662846474
BF,DO,7357.746826062601
DO,BF,7357.746826062601
BF,TG,469.83596894225366
TG,BF,469.83596894225366
BF,PY,7290.005336559023
PY,BF,7290.005336559023
BF,MZ,5306.43005891183
MZ,BF,5306.43005891183
BF,NL,4502.596027076424
NL,BF,4502.596027076424
BF,GY,6311.756919887887
GY,BF,6311.756919887887
BF,JM,8112.566010211368
JM,BF,8112.566010211368
BF,CI,620.5228172225657
CI,BF,620.5228172225657
BF,SE,5450.8232715472805
SE,BF,5450.8232715472805
BF,RW,3839.558916407424
RW,BF,3839.558916407424
BF,CL,8854.530650721761
CL,BF,8854.530650721761
BF,CG,2381.980740692844
CG,BF,2381.980740692844
BF,BO,7670.82233349211
BO,BF,7670.82233349211
BF,LS,11092.342748741605
LS,BF,11092.342748741605
BF,FJ,19330.78512439007
FJ,BF,19330.78512439007
BF,VN,11824.907671120358
VN,BF,11824.907671120358
BF,AW,4368.819537952753
AW,BF,4368.819537952753
BF,CA,9695.511560499155
CA,BF,9695.511560499155
BF,AR,8454.204206760089
AR,BF,8454.204206760089
BF,UY,7615.263640819418
UY,BF,7615.263640819418
SK,MM,7611.068616639341
MM,SK,7611.068616639341
SK,IS,2847.4021663551384
IS,SK,2847.4021663551384
SK,GD,8356.335126699309
GD,SK,8356.335126699309
SK,FI,1662.6884730708855
FI,SK,1662.6884730708855
SK,HK,8506.810240123092
HK,SK,8506.810240123092
SK,US,8561.842109951876
US,SK,8561.842109951876
SK,MN,7725.634595123537
MN,SK,7725.634595123537
SK,FR,1337.1474989840494
FR,SK,1337.1474989840494
SK,BN,10017.622700252834
BN,SK,10017.622700252834
SK,BR,9625.130983196956
BR,SK,9625.130983196956
SK,SI,497.28012095596273
SI,SK,497.28012095596273
SK,CY,1898.3876822643488
CY,SK,1898.3876822643488
SK,BS,8496.488709547335
BS,SK,8496.488709547335
SK,BH,513.2153302980868
BH,SK,513.2153302980868
SK,CZ,313.1344513896728
CZ,SK,313.1344513896728
SK,QA,3789.5605574278575
QA,SK,3789.5605574278575
SK,UA,865.9144095091327
UA,SK,865.9144095091327
SK,HU,173.43385866940687
HU,SK,173.43385866940687
SK,GE,2072.3983612655
GE,SK,2072.3983612655
SK,PT,2367.1180620228365
PT,SK,2367.1180620228365
SK,VE,9020.43128855056
VE,SK,9020.43128855056
SK,SG,9482.485806391349
SG,SK,9482.485806391349
SK,RU,1695.2864733811064
RU,SK,1695.2864733811064
SK,DZ,2701.321703671566
DZ,SK,2701.321703671566
SK,AE,4080.042693797629
AE,SK,4080.042693797629
SK,CD,5746.1431534525145
CD,SK,5746.1431534525145
SK,MX,10112.68280641798
MX,SK,10112.68280641798
SK,KG,4323.868719362604
KG,SK,4323.868719362604
SK,AU,13873.215770181598
AU,SK,13873.215770181598
SK,UG,5372.267186095049
UG,SK,5372.267186095049
SK,SV,10163.396390437863
SV,SK,10163.396390437863
SK,BE,1085.657359710129
BE,SK,1085.657359710129
SK,IL,7948.887662171828
IL,SK,7948.887662171828
SK,MK,811.3798318799165
MK,SK,811.3798318799165
SK,IN,5930.237418499276
IN,SK,5930.237418499276
SK,MY,8561.842109951876
MY,SK,8561.842109951876
SK,TR,1646.2451042387556
TR,SK,1646.2451042387556
SK,AZ,2416.6719550949074
AZ,SK,2416.6719550949074
SK,BG,827.4866603908945
BG,SK,827.4866603908945
SK,CH,867.474188895272
CH,SK,867.474188895272
SK,PL,387.1876496037953
PL,SK,387.1876496037953
SK,LU,335.5099977031807
LU,SK,335.5099977031807
SK,PE,10909.364166730027
PE,SK,10909.364166730027
SK,EE,1178.7116258290123
EE,SK,1178.7116258290123
SK,IR,3419.756917320385
IR,SK,3419.756917320385
SK,RO,499.9473357524676
RO,SK,499.9473357524676
SK,BB,8114.535205256298
BB,SK,8114.535205256298
SK,SM,757.064850576688
SM,SK,757.064850576688
SK,LY,2435.492990617896
LY,SK,2435.492990617896
SK,CM,4927.259920311963
CM,SK,4927.259920311963
SK,IT,858.8453110080311
IT,SK,858.8453110080311
SK,GB,1695.2864733811064
GB,SK,1695.2864733811064
SK,BM,6992.349473124528
BM,SK,6992.349473124528
SK,VG,8060.011148127175
VG,SK,8060.011148127175
SK,ME,10112.68280641798
ME,SK,10112.68280641798
SK,KW,3217.8932738138737
KW,SK,3217.8932738138737
SK,SY,2248.835512613626
SY,SK,2248.835512613626
SK,BZ,9892.123333411591
BZ,SK,9892.123333411591
SK,ET,4630.721802841602
ET,SK,4630.721802841602
SK,KR,8200.381068868572
KR,SK,8200.381068868572
SK,LB,2137.5296237793773
LB,SK,2137.5296237793773
SK,LT,791.8735123556606
LT,SK,791.8735123556606
SK,OM,4532.442610331264
OM,SK,4532.442610331264
SK,CN,6884.198074388811
CN,SK,6884.198074388811
SK,CO,9842.424359919904
CO,SK,9842.424359919904
SK,DK,989.8334757235936
DK,SK,989.8334757235936
SK,MU,8529.239351295111
MU,SK,8529.239351295111
SK,AL,8366.77102672433
AL,SK,8366.77102672433
SK,XK,693.2310138891431
XK,SK,693.2310138891431
SK,PA,10066.469197256298
PA,SK,10066.469197256298
SK,TH,651.0190026123051
TH,SK,651.0190026123051
SK,LV,968.9626652322822
LV,SK,968.9626652322822
SK,KN,988.0296613020988
KN,SK,988.0296613020988
SK,NZ,17788.540818253157
NZ,SK,17788.540818253157
SK,ZW,7512.164400246863
ZW,SK,7512.164400246863
SK,ER,1974.3783055015963
ER,SK,1974.3783055015963
SK,RS,516.8959372428966
RS,SK,516.8959372428966
SK,PH,9903.00000414557
